Word_0,Prob_0,Word_1,Prob_1,Word_2,Prob_2,Word_3,Prob_3,Word_4,Prob_4,Word_5,Prob_5,Word_6,Prob_6,Word_7,Prob_7,Word_8,Prob_8,Word_9,Prob_9,Word_10,Prob_10,Word_11,Prob_11,Word_12,Prob_12,Word_13,Prob_13,Word_14,Prob_14,Word_15,Prob_15,Word_16,Prob_16,Word_17,Prob_17,Word_18,Prob_18,Word_19,Prob_19,Word_20,Prob_20,Word_21,Prob_21,Word_22,Prob_22,Word_23,Prob_23,Word_24,Prob_24,Word_25,Prob_25,Word_26,Prob_26,Word_27,Prob_27,Word_28,Prob_28,Word_29,Prob_29
heaven,0.059396412,live,0.05903989,give,0.19797276,see,0.13331118,day,0.2840137,tonight,0.15321764,away,0.0785396,night,0.17878021,body,0.08226619,head,0.058612894,rock,0.07097107,well,0.12454791,girl,0.08299707,song,0.06182399,time,0.10600442,little,0.29422763,look,0.08075507,never,0.21423867,old,0.026197799,dream,0.09389559,love,0.49007964,money,0.026626455,bad,0.094130106,nigga,0.038452987,home,0.083315626,dance,0.08079302,everybody,0.1030058,good,0.18714587,want,0.21007021,need,0.17013898
high,0.052393187,much,0.050695907,call,0.072987705,light,0.06351908,run,0.10904919,boom,0.078390345,heart,0.07402819,keep,0.11700202,somebody,0.07530103,nothing,0.04490176,ride,0.041219786,mine,0.06425878,ha,0.0558305,sing,0.051126562,think,0.049931113,world,0.17083065,watch,0.06661365,life,0.094463766,made,0.025081065,nobody,0.0738279,heart,0.030280989,big,0.011316509,sweet,0.08953011,que,0.02584936,whoa,0.06388363,stop,0.06469967,work,0.067990296,feel,0.15502934,ayy,0.04179756,tell,0.11469097
u,0.03180638,mama,0.045220055,name,0.04216022,free,0.05931484,another,0.065525055,two,0.065322675,gone,0.04577573,hold,0.07394549,someone,0.06292947,party,0.030191254,hot,0.03084691,people,0.053206276,show,0.049805194,wait,0.04444115,mind,0.04305832,bit,0.06367185,pretty,0.04829956,fool,0.036117166,remember,0.021338021,believe,0.060983572,true,0.01501986,black,0.009536607,kiss,0.08643131,shit,0.021199785,long,0.049998265,ready,0.044541728,play,0.06527187,right,0.14530554,ho,0.03386707,want,0.06276179
fire,0.031691156,lady,0.044577867,stand,0.036793217,without,0.05203007,lovely,0.063303456,jump,0.033459976,cry,0.0409682,shake,0.07090492,something,0.04795205,lookin,0.02244357,bop,0.030261703,talk,0.04905732,goin,0.046453692,friend,0.039675463,better,0.028705545,star,0.035204414,miss,0.045721818,crazy,0.031226689,used,0.020447562,must,0.034223877,always,0.014397932,king,0.008981722,touch,0.050427563,bitch,0.019900301,blue,0.038658317,music,0.04174245,babe,0.041861024,alright,0.05021991,real,0.032588344,please,0.054735564
fly,0.03105923,wish,0.04303811,forever,0.032136273,face,0.0327394,away,0.026767328,three,0.028877938,tear,0.023549411,move,0.040924545,else,0.045789916,shimmy,0.022164557,roll,0.030122373,fine,0.044253655,mean,0.033939566,hear,0.037965648,try,0.023730053,halo,0.031976793,eye,0.020812314,side,0.029262643,knew,0.01993933,place,0.02803055,feel,0.014083576,house,0.007573548,lip,0.034728944,tu,0.017661212,summer,0.026288068,beat,0.0362518,lovin,0.04161728,going,0.039184876,huh,0.030465353,leave,0.03815413
sky,0.02469259,living,0.026272202,anything,0.022353271,eye,0.029818201,beautiful,0.025288824,disco,0.02482177,doo,0.021758761,lover,0.04047868,night,0.034230776,runnin,0.020111453,bring,0.029046664,happy,0.04048664,easy,0.027603084,along,0.022091085,change,0.017735315,dee,0.027391385,foot,0.020244772,lie,0.024816677,last,0.017826091,young,0.026897231,oooh,0.009447422,gun,0.007220148,mmm,0.033867817,fuck,0.015581744,night,0.02508713,justin,0.032666057,yes,0.041224066,angel,0.025958877,freak,0.018247247,stay,0.03643009
child,0.022127839,god,0.023868106,together,0.022256304,set,0.026216319,bell,0.017347358,hand,0.024662815,rain,0.02040714,lonely,0.03861624,find,0.03017076,playing,0.018721562,funky,0.028828353,buy,0.040419046,nothin,0.018943164,hate,0.021967785,find,0.015958693,whole,0.026796874,smile,0.019806862,always,0.013212184,took,0.017583624,best,0.024991514,darling,0.008534777,brother,0.006966468,feelin,0.031864844,da,0.014461337,sunshine,0.014072087,new,0.030921945,crank,0.03272513,wrong,0.022782618,pop,0.0178976,loving,0.030576024
higher,0.019801175,life,0.019043034,everything,0.020316862,bye,0.023578271,brown,0.014853819,pump,0.020822829,alone,0.017513962,shout,0.025040768,done,0.025417479,line,0.018489173,fun,0.026679002,care,0.03501258,lord,0.018704396,next,0.018179527,always,0.014469421,take,0.021957813,drive,0.019057665,swear,0.011320909,told,0.016080385,may,0.024621682,yes,0.007788473,white,0.006760468,mad,0.017028708,te,0.01349323,comin,0.0138355745,rhythm,0.030751301,cool,0.019354746,feeling,0.022273066,boo,0.015401576,yes,0.016414108
sun,0.017828008,missing,0.018671133,chance,0.019609032,inside,0.02348516,charlie,0.012151556,four,0.017446527,lonely,0.015146652,tight,0.023691174,morning,0.020279199,rush,0.013851602,woo,0.025365707,ring,0.034104273,wow,0.018096387,word,0.015075518,even,0.012592486,hello,0.013041948,goodbye,0.016962284,die,0.010673014,came,0.016056677,wake,0.019012168,much,0.0074995826,hard,0.0060053486,sugar,0.016914023,de,0.0130175855,road,0.013714418,slow,0.026415281,machine,0.01701275,soul,0.019581994,bow,0.012189521,still,0.015573443
daddy,0.0150301615,promise,0.01736537,number,0.018518297,fall,0.017215045,hill,0.010924242,clap,0.016280685,hurt,0.014257491,gim,0.02122574,ahh,0.015087008,drink,0.013604821,town,0.024778564,coming,0.028813442,michael,0.015688818,minute,0.014936717,waiting,0.0124689,ba,0.012975488,street,0.012458401,time,0.009312686,still,0.014376732,magic,0.016192332,together,0.007259185,ball,0.0056781657,wine,0.014766144,ay,0.012557215,water,0.013707387,ding,0.022555403,kelly,0.015284975,make,0.014590189,fuck,0.011884755,enough,0.014629705
